ID,type,category,occasion,color,comfort,photo_name
1,dress,dress,formal,neutral,1,IMG_5923
2,dress,dress,semi-formal,neutral,1,IMG_5913
3,top,short sleeve,business casual,neutral,5,IMG_5920
4,top,long sleeve,business casual,neutral,1,IMG_5919
5,bottom,pants,business casual,neutral,1,IMG_5918
6,top,long sleeve,althleisure,neutral,5,IMG_5922
7,bottom,pants,althleisure,colorful,5,IMG_5915
8,bottom,shorts,casual,neutral,1,IMG_5916
9,bottom,pants,casual,neutral,5,IMG_5914
10,jacket,jacket,casual,neutral,5,IMG_5912
11,jacket,jacket,casual,neutral,5,IMG_5911
12,jacket,jacket,casual,colorful,5,IMG_5909
13,top,long sleeve,casual,colorful,5,IMG_5910
14,bottom,shorts,lounge,neutral,5,IMG_5917
15,top,short sleeve,lounge,colorful,5,IMG_5908
16,top,short sleeve,lounge,colorful,5,IMG_5921
